CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE
def,magento,PRIMARY,magento,admin_passwords,"PRIMARY KEY"
def,magento,ADMIN_PASSWORDS_USER_ID_ADMIN_USER_USER_ID,magento,admin_passwords,"FOREIGN KEY"
def,magento,PRIMARY,magento,admin_system_messages,"PRIMARY KEY"
def,magento,PRIMARY,magento,admin_user,"PRIMARY KEY"
def,magento,ADMIN_USER_USERNAME,magento,admin_user,UNIQUE
def,magento,PRIMARY,magento,admin_user_session,"PRIMARY KEY"
def,magento,ADMIN_USER_SESSION_USER_ID_ADMIN_USER_USER_ID,magento,admin_user_session,"FOREIGN KEY"
def,magento,PRIMARY,magento,adminnotification_inbox,"PRIMARY KEY"
def,magento,PRIMARY,magento,amazon_customer,"PRIMARY KEY"
def,magento,AMAZON_CUSTOMER_CUSTOMER_ID_AMAZON_ID,magento,amazon_customer,UNIQUE
def,magento,AMAZON_CUSTOMER_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID,magento,amazon_customer,"FOREIGN KEY"
def,magento,PRIMARY,magento,amazon_pending_authorization,"FOREIGN KEY"
def,magento,UNQ_E6CCA08713FB32BB136A56837009C371,magento,amazon_pending_authorization,UNIQUE
def,magento,PRIMARY,magento,amazon_pending_capture,"PRIMARY KEY"
def,magento,AMAZON_PENDING_CAPTURE_ORDER_ID_PAYMENT_ID_CAPTURE_ID,magento,amazon_pending_capture,UNIQUE
def,magento,PRIMARY,magento,amazon_pending_refund,"PRIMARY KEY"
def,magento,AMAZON_PENDING_REFUND_ORDER_ID_PAYMENT_ID_REFUND_ID,magento,amazon_pending_refund,UNIQUE
def,magento,PRIMARY,magento,amazon_quote,"PRIMARY KEY"
def,magento,AMAZON_QUOTE_QUOTE_ID,magento,amazon_quote,UNIQUE
def,magento,AMAZON_QUOTE_QUOTE_ID_QUOTE_ENTITY_ID,magento,amazon_quote,"FOREIGN KEY"
def,magento,PRIMARY,magento,amazon_sales_order,"PRIMARY KEY"
def,magento,AMAZON_SALES_ORDER_ORDER_ID,magento,amazon_sales_order,UNIQUE
def,magento,AMAZON_SALES_ORDER_ORDER_ID_SALES_ORDER_ENTITY_ID,magento,amazon_sales_order,"FOREIGN KEY"
def,magento,PRIMARY,magento,authorization_role,"PRIMARY KEY"
def,magento,PRIMARY,magento,authorization_rule,"PRIMARY KEY"
def,magento,AUTHORIZATION_RULE_ROLE_ID_AUTHORIZATION_ROLE_ROLE_ID,magento,authorization_rule,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_asset,"PRIMARY KEY"
def,magento,BOLD_ASSET_CODE_ASSET_TYPE_ID_POSITION,magento,bold_asset,UNIQUE
def,magento,BOLD_ASSET_ASSET_TYPE_ID_BOLD_ASSET_TYPE_ASSET_TYPE_ID,magento,bold_asset,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_asset_type,"PRIMARY KEY"
def,magento,BOLD_ASSET_TYPE_CODE,magento,bold_asset_type,UNIQUE
def,magento,PRIMARY,magento,bold_b2b_contact_person,"PRIMARY KEY"
def,magento,BOLD_B2B_CONTACT_PERSON_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID,magento,bold_b2b_contact_person,"FOREIGN KEY"
def,magento,BOLD_B2B_CONTACT_PERSON_ORDER_ID_SALES_ORDER_ENTITY_ID,magento,bold_b2b_contact_person,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_category_filters_order,"PRIMARY KEY"
def,magento,BOLD_CTGR_FILTERS_ORDER_ATTR_ID_EAV_ATTR_ATTR_ID,magento,bold_category_filters_order,"FOREIGN KEY"
def,magento,BOLD_CTGR_FILTERS_ORDER_CTGR_ID_CAT_CTGR_ENTT_ENTT_ID,magento,bold_category_filters_order,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VALUE_PARAMETER_ID,magento,bold_import_value,UNIQUE
def,magento,PRIMARY,magento,bold_import_value_decimal,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VAL_DEC_IMPORT_VAL_ID_BOLD_IMPORT_VAL_VAL_ID,magento,bold_import_value_decimal,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VAL_LBL_VAL_ID_CAT_PRD_ENTT_DEC_VAL_ID,magento,bold_import_value_decimal,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value_int,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VALUE_INT_IMPORT_VALUE_ID_BOLD_IMPORT_VALUE_VALUE_ID,magento,bold_import_value_int,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VAL_LBL_VAL_ID_CAT_PRD_ENTT_INT_VAL_ID,magento,bold_import_value_int,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value_label,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VALUE_LABEL_VALUE_ID_STORE_ID,magento,bold_import_value_label,UNIQUE
def,magento,BOLD_IMPORT_VALUE_LABEL_STORE_ID_STORE_STORE_ID,magento,bold_import_value_label,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VALUE_LABEL_VALUE_ID_BOLD_IMPORT_VALUE_VALUE_ID,magento,bold_import_value_label,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value_option,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VALUE_LABEL_VALUE_ID_EAV_ATTRIBUTE_OPTION_OPTION_ID,magento,bold_import_value_option,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VAL_OPT_IMPORT_VAL_ID_BOLD_IMPORT_VAL_VAL_ID,magento,bold_import_value_option,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value_text,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VAL_LBL_VAL_ID_CAT_PRD_ENTT_TEXT_VAL_ID,magento,bold_import_value_text,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VAL_TEXT_IMPORT_VAL_ID_BOLD_IMPORT_VAL_VAL_ID,magento,bold_import_value_text,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_import_value_varchar,"PRIMARY KEY"
def,magento,BOLD_IMPORT_VAL_LBL_VAL_ID_CAT_PRD_ENTT_VCHR_VAL_ID,magento,bold_import_value_varchar,"FOREIGN KEY"
def,magento,BOLD_IMPORT_VAL_VCHR_IMPORT_VAL_ID_BOLD_IMPORT_VAL_VAL_ID,magento,bold_import_value_varchar,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_media_to_product_asset,"PRIMARY KEY"
def,magento,BOLD_MEDIA_TO_PRODUCT_ASSET_PRODUCT_ASSET_ID_VALUE_ID,magento,bold_media_to_product_asset,UNIQUE
def,magento,BOLD_MDA_TO_PRD_ASSET_PRD_ASSET_ID_BOLD_PRD_ASSET_PRD_ASSET_ID,magento,bold_media_to_product_asset,"FOREIGN KEY"
def,magento,BOLD_MDA_TO_PRD_ASSET_VAL_ID_CAT_PRD_ENTT_MDA_GLR_VAL_ID,magento,bold_media_to_product_asset,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_multi_server_cache_clean,"PRIMARY KEY"
def,magento,PRIMARY,magento,bold_page_cache_queue,"PRIMARY KEY"
def,magento,PRIMARY,magento,bold_page_cache_queue_tag,"PRIMARY KEY"
def,magento,bold_page_cache_queue_tag_page_cache_id_fk,magento,bold_page_cache_queue_tag,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_pictogram_eav_attribute_option_link,"PRIMARY KEY"
def,magento,BOLD_PICTOGRAM_EAV_ATTRIBUTE_OPTION_LINK_PICTOGRAM_ID_OPTION_ID,magento,bold_pictogram_eav_attribute_option_link,UNIQUE
def,magento,BOLD_PICTOGRAM_EAV_ATTR_OPT_LNK_OPT_ID_EAV_ATTR_OPT_OPT_ID,magento,bold_pictogram_eav_attribute_option_link,"FOREIGN KEY"
def,magento,FK_2775DADE79BF336E8F35FD80002E098F,magento,bold_pictogram_eav_attribute_option_link,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_product_asset,"PRIMARY KEY"
def,magento,BOLD_PRODUCT_ASSET_ASSET_ID_PRODUCT_ID_STORE_ID,magento,bold_product_asset,UNIQUE
def,magento,BOLD_PRODUCT_ASSET_ASSET_ID_BOLD_ASSET_ASSET_ID,magento,bold_product_asset,"FOREIGN KEY"
def,magento,BOLD_PRODUCT_ASSET_PRODUCT_ID_CATALOG_PRODUCT_ENTITY_ENTITY_ID,magento,bold_product_asset,"FOREIGN KEY"
def,magento,BOLD_PRODUCT_ASSET_STORE_ID_STORE_STORE_ID,magento,bold_product_asset,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_product_pictogram,"PRIMARY KEY"
def,magento,BOLD_PRODUCT_PICTOGRAM_CODE_STORE_ID,magento,bold_product_pictogram,UNIQUE
def,magento,BOLD_PRODUCT_PICTOGRAM_STORE_ID_STORE_STORE_ID,magento,bold_product_pictogram,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_product_reindex,"PRIMARY KEY"
def,magento,BOLD_PRODUCT_REINDEX_PRODUCT_ID_CATALOG_PRODUCT_ENTITY_ENTITY_ID,magento,bold_product_reindex,"FOREIGN KEY"
def,magento,PRIMARY,magento,cache,"PRIMARY KEY"
def,magento,PRIMARY,magento,cache_tag,"PRIMARY KEY"
def,magento,PRIMARY,magento,captcha_log,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_entity,"PRIMARY KEY"
def,magento,CAT_CTGR_ENTT_ENTT_ID_SEQUENCE_CAT_CTGR_SEQUENCE_VAL,magento,catalog_category_entity,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_entity_datetime,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_ENTITY_DATETIME_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_category_entity_datetime,UNIQUE
def,magento,CATALOG_CATEGORY_ENTITY_DATETIME_STORE_ID_STORE_STORE_ID,magento,catalog_category_entity_datetime,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_DTIME_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_entity_datetime,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_DTIME_ROW_ID_CAT_CTGR_ENTT_ROW_ID,magento,catalog_category_entity_datetime,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_entity_decimal,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_ENTITY_DECIMAL_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_category_entity_decimal,UNIQUE
def,magento,CATALOG_CATEGORY_ENTITY_DECIMAL_STORE_ID_STORE_STORE_ID,magento,catalog_category_entity_decimal,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_DEC_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_entity_decimal,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_DEC_ROW_ID_CAT_CTGR_ENTT_ROW_ID,magento,catalog_category_entity_decimal,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_entity_int,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_ENTITY_INT_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_category_entity_int,UNIQUE
def,magento,CATALOG_CATEGORY_ENTITY_INT_STORE_ID_STORE_STORE_ID,magento,catalog_category_entity_int,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_INT_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_entity_int,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_INT_ROW_ID_CAT_CTGR_ENTT_ROW_ID,magento,catalog_category_entity_int,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_entity_text,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_ENTITY_TEXT_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_category_entity_text,UNIQUE
def,magento,CATALOG_CATEGORY_ENTITY_TEXT_STORE_ID_STORE_STORE_ID,magento,catalog_category_entity_text,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_TEXT_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_entity_text,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_TEXT_ROW_ID_CAT_CTGR_ENTT_ROW_ID,magento,catalog_category_entity_text,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_entity_varchar,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_ENTITY_VARCHAR_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_category_entity_varchar,UNIQUE
def,magento,CATALOG_CATEGORY_ENTITY_VARCHAR_STORE_ID_STORE_STORE_ID,magento,catalog_category_entity_varchar,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_VCHR_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_entity_varchar,"FOREIGN KEY"
def,magento,CAT_CTGR_ENTT_VCHR_ROW_ID_CAT_CTGR_ENTT_ROW_ID,magento,catalog_category_entity_varchar,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_product,"PRIMARY KEY"
def,magento,CATALOG_CATEGORY_PRODUCT_CATEGORY_ID_PRODUCT_ID,magento,catalog_category_product,UNIQUE
def,magento,CAT_CTGR_PRD_CTGR_ID_SEQUENCE_CAT_CTGR_SEQUENCE_VAL,magento,catalog_category_product,"FOREIGN KEY"
def,magento,CAT_CTGR_PRD_PRD_ID_SEQUENCE_PRD_SEQUENCE_VAL,magento,catalog_category_product,"FOREIGN KEY"
def,magento,CAT_CTGR_PRD_ATTR_CTGR_ID_ATTR_ID_WS_ID,magento,catalog_category_product_attribute,UNIQUE
def,magento,CAT_CTGR_PRD_ATTR_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_category_product_attribute,"FOREIGN KEY"
def,magento,CAT_CTGR_PRD_ATTR_CTGR_ID_CAT_CTGR_ENTT_ENTT_ID,magento,catalog_category_product_attribute,"FOREIGN KEY"
def,magento,CAT_CTGR_PRD_ATTR_WS_ID_STORE_WS_WS_ID,magento,catalog_category_product_attribute,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_category_product_cl,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_replica,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_store1,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_store1_replica,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_store8,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_store8_replica,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_category_product_index_tmp,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_compare_item,"PRIMARY KEY"
def,magento,CATALOG_COMPARE_ITEM_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID,magento,catalog_compare_item,"FOREIGN KEY"
def,magento,CATALOG_COMPARE_ITEM_PRODUCT_ID_SEQUENCE_PRODUCT_SEQUENCE_VALUE,magento,catalog_compare_item,"FOREIGN KEY"
def,magento,CATALOG_COMPARE_ITEM_STORE_ID_STORE_STORE_ID,magento,catalog_compare_item,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_eav_attribute,"PRIMARY KEY"
def,magento,CATALOG_EAV_ATTRIBUTE_ATTRIBUTE_ID_EAV_ATTRIBUTE_ATTRIBUTE_ID,magento,catalog_eav_attribute,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_attribute_cl,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_option,"PRIMARY KEY"
def,magento,CAT_PRD_BNDL_OPT_OPT_ID_SEQUENCE_PRD_BNDL_OPT_SEQUENCE_VAL,magento,catalog_product_bundle_option,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_OPT_PARENT_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_bundle_option,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_option_value,"PRIMARY KEY"
def,magento,CAT_PRD_BNDL_OPT_VAL_OPT_ID_PARENT_PRD_ID_STORE_ID,magento,catalog_product_bundle_option_value,UNIQUE
def,magento,CAT_PRD_BNDL_OPT_VAL_OPT_ID_SEQUENCE_PRD_BNDL_OPT_SEQUENCE_VAL,magento,catalog_product_bundle_option_value,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_OPT_VAL_PARENT_PRD_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_bundle_option_value,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_price_index,"PRIMARY KEY"
def,magento,CAT_PRD_BNDL_PRICE_IDX_CSTR_GROUP_ID_CSTR_GROUP_CSTR_GROUP_ID,magento,catalog_product_bundle_price_index,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_PRICE_IDX_ENTT_ID_SEQUENCE_PRD_SEQUENCE_VAL,magento,catalog_product_bundle_price_index,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_PRICE_IDX_WS_ID_STORE_WS_WS_ID,magento,catalog_product_bundle_price_index,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_selection,"PRIMARY KEY"
def,magento,CAT_PRD_BNDL_SELECTION_OPT_ID_SEQUENCE_PRD_BNDL_OPT_SEQUENCE_VAL,magento,catalog_product_bundle_selection,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_SELECTION_PARENT_PRD_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_bundle_selection,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_SELECTION_PRD_ID_SEQUENCE_PRD_SEQUENCE_VAL,magento,catalog_product_bundle_selection,"FOREIGN KEY"
def,magento,FK_606117FEB5F50D0182CEC9D260C05DD2,magento,catalog_product_bundle_selection,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_selection_price,"PRIMARY KEY"
def,magento,CAT_PRD_BNDL_SELECTION_PRICE_PARENT_PRD_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_bundle_selection_price,"FOREIGN KEY"
def,magento,CAT_PRD_BNDL_SELECTION_PRICE_WS_ID_STORE_WS_WS_ID,magento,catalog_product_bundle_selection_price,"FOREIGN KEY"
def,magento,FK_AE9FDBF7988FB6BE3E04D91DA2CFB273,magento,catalog_product_bundle_selection_price,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_bundle_stock_index,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_category_cl,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_entity,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_ENTITY_ID_SEQUENCE_PRODUCT_SEQUENCE_VALUE,magento,catalog_product_entity,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_datetime,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_DATETIME_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_datetime,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_DATETIME_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_datetime,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_DTIME_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_datetime,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_DTIME_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_datetime,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_decimal,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_DECIMAL_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_decimal,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_DECIMAL_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_decimal,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_DEC_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_decimal,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_DEC_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_decimal,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_gallery,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_GALLERY_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_gallery,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_GALLERY_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_gallery,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_GLR_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_gallery,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_GLR_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_gallery,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_int,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_INT_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_int,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_INT_ROW_ID_CATALOG_PRODUCT_ENTITY_ROW_ID,magento,catalog_product_entity_int,"FOREIGN KEY"
def,magento,CATALOG_PRODUCT_ENTITY_INT_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_int,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_INT_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_int,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_media_gallery,"PRIMARY KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_media_gallery,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_media_gallery_value,"PRIMARY KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_media_gallery_value,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_media_gallery_value,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_VAL_ID_CAT_PRD_ENTT_MDA_GLR_VAL_ID,magento,catalog_product_entity_media_gallery_value,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_TO_ENTT_VAL_ID_ENTT_ID,magento,catalog_product_entity_media_gallery_value_to_entity,UNIQUE
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_TO_ENTT_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_media_gallery_value_to_entity,"FOREIGN KEY"
def,magento,FK_A6C6C8FAA386736921D3A7C4B50B1185,magento,catalog_product_entity_media_gallery_value_to_entity,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_VIDEO_VAL_ID_STORE_ID,magento,catalog_product_entity_media_gallery_value_video,UNIQUE
def,magento,CAT_PRD_ENTT_MDA_GLR_VAL_VIDEO_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_media_gallery_value_video,"FOREIGN KEY"
def,magento,FK_6FDF205946906B0E653E60AA769899F8,magento,catalog_product_entity_media_gallery_value_video,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_range,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_RANGE_ROW_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_range,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_RANGE2_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_range,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_RANGE2_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_range,"FOREIGN KEY"
